typ;\popi{I}{mA};;\popi{U_x}{V};;\popi{U_c}{V};;\popi{U_y}{V};;\popi{H_m}{A.m^{-1}};;\popi{H_c}{A.m^{-1}};;\popi{B_m}{T};
a);298;5;4,5;0,1;0,0;0,1;0,5;0,1;1 080;20;0;30;0,030;0,008
a);350;6;5,3;0,1;0,0;0,1;0,6;0,1;1 260;20;0;30;0,038;0,008
a);401;6;6,0;0,1;0,0;0,1;0,8;0,1;1 450;20;0;30;0,045;0,008
a);452;7;6,9;0,1;0,0;0,1;0,9;0,1;1 640;30;0;30;0,053;0,008
b);506;8;7,8;0,1;1,5;0,1;1,1;0,1;1 830;30;350;30;0,068;0,008
b);547;11;8,3;0,1;2,5;0,1;1,5;0,1;1 980;40;600;30;0,090;0,008
b)+d);602;12;9,3;0,1;3,5;0,1;2,3;0,1;2 180;40;820;40;0,135;0,008
d);654;13;10,5;0,1;4,0;0,1;3,0;0,1;2 370;50;900;40;0,180;0,009
d);706;14;11,3;0,1;4,5;0,1;3,4;0,1;2 550;50;1 020;40;0,203;0,009
d);806;15;12,8;0,3;4,8;0,3;3,8;0,1;2 920;60;1 090;60;0,23;0,01
c)-d);907;17;14,5;0,3;5,0;0,3;4,0;0,1;3 280;60;1 130;60;0,24;0,01
c);1 002;18;15,5;0,3;5,0;0,3;3,9;0,1;3 620;70;1 170;70;0,23;0,01
c);1 098;19;17,0;0,3;5,0;0,3;4,1;0,1;3 970;70;1 170;60;0,25;0,01
c);1 202;21;18,5;0,3;5,3;0,3;4,4;0,1;4 350;80;1 230;60;0,26;0,01
