;N=5;;;N=10;;
\popi{I}{A};\popi{x}{cm};\popi{\alpha}{rad};\popi{\sigma(\alpha)}{rad};\popi{x}{cm};\popi{\alpha}{rad};\popi{\sigma(\alpha)}{rad}
0,0;0,0;0,00000;0,00038;0;0,00000;0,00038
0,5;1,2;0,00451;0,00038;2,7;0,01015;0,00038
1,0;2,4;0,00902;0,00038;5,3;0,01992;0,00038
1,5;3,7;0,01391;0,00038;7,8;0,02930;0,00038
2,0;4,9;0,01842;0,00038;10,4;0,03903;0,00038
2,5;6,2;0,02330;0,00038;12,9;0,04836;0,00038
3,0;7,5;0,02818;0,00038;15,6;0,05840;0,00038
3,5;8,8;0,03305;0,00038;18,1;0,06765;0,00038
4,0;9,9;0,03716;0,00038;20,7;0,07723;0,00039
