;N=5;;;N=10;;
\popi{I}{A};\popi{x}{cm};\popi{\alpha}{rad};\popi{\sigma(\alpha)}{rad};\popi{x}{cm};\popi{\alpha}{rad};\popi{\sigma(\alpha)}{rad}
0,0;0,0;0,00000;0,00038;0,0;0,00000;0,00038
0,5;0,5;0,00188;0,00038;1,3;0,00489;0,00038
1,0;1,0;0,00376;0,00038;2,7;0,01015;0,00038
1,5;1,7;0,00639;0,00038;4,0;0,01504;0,00038
2,0;2,4;0,00902;0,00038;5,3;0,01992;0,00038
2,5;3,1;0,01166;0,00038;6,7;0,02518;0,00038
3,0;3,8;0,01429;0,00038;8,0;0,03005;0,00038
3,5;4,5;0,01692;0,00038;9,3;0,03492;0,00038
4,0;5,1;0,01917;0,00038;10,7;0,04015;0,00038
