\popi{I}{mA};\popi{rozsah}{mA};\popi{\sigma(I)}{mA};\popi{U}{V};\popi{rozsah}{V};\popi{\sigma(U)}{V};\popi{R}{\ohm};\popi{\sigma(R)}{\ohm};\popi{R\_{kor}}{\ohm};\popi{\sigma(R\_{kor})}{\ohm}
0,280;1,5;0,008;0,040;1,5;0,008;140;30;30;30
0,395;1,5;0,008;0,060;1,5;0,008;150;20;40;20
0,680;1,5;0,008;0,100;1,5;0,008;150;10;40;10
0,870;1,5;0,008;0,130;1,5;0,008;149;9;39;9
1,350;1,5;0,008;0,210;1,5;0,008;156;6;45;6
1,490;1,5;0,008;0,240;1,5;0,008;161;5;51;5
1,74;3;0,02;0,220;1,5;0,008;126;5;44;5
2,18;3;0,02;0,270;1,5;0,008;124;4;41;4
2,46;3;0,02;0,305;1,5;0,008;124;3;41;3
4,60;7,5;0,04;0,410;1,5;0,008;89;2;49;2
5,35;7,5;0,04;0,450;1,5;0,008;84;2;44;2
6,48;7,5;0,04;0,560;1,5;0,008;86;1;47;1
7,20;15;0,08;0,505;1,5;0,008;70;1;49;1
9,00;15;0,08;0,700;1,5;0,008;78;1;57;1
11,10;15;0,08;1,050;1,5;0,008;95;1;74;1
12,25;15;0,08;1,420;1,5;0,008;116;1;95;1
17,6;30;0,2;3,65;7,5;0,04;207;3;196;3
22,8;30;0,2;5,95;7,5;0,04;261;3;250;3
25,8;30;0,2;7,38;7,5;0,04;286;2;275;2
28,5;75;0,4;8,90;15;0,08;312;5;308;5
35,0;75;0,4;12,60;15;0,08;360;5;355;5
40,3;75;0,4;16,2;30;0,2;402;6;398;6
