\popi{I}{mA};\popi{U}{V};\popi{\sigma I}{mA};\popi{\sigma U}{V}
0,1115;0,0742;0,0006;0,0003
0,1685;0,1121;0,0008;0,0004
0,2599;0,1717;0,0011;0,0004
0,3548;0,2321;0,0014;0,0004
0,4145;0,2693;0,0015;0,0004
0,4876;0,3137;0,0018;0,0005
0,5715;0,3627;0,0020;0,0005
0,6502;0,4067;0,0023;0,0005
0,7210;0,4448;0,0025;0,0005
0,8069;0,4888;0,0027;0,0005
0,8740;0,5215;0,0029;0,0006
1,0106;0,5838;0,0033;0,0006
1,3147;0,7019;0,0042;0,0007
1,2368;0,6740;0,0040;0,0006
1,4037;0,7313;0,0045;0,0007
1,6428;0,8010;0,0052;0,0007
1,857;0,8527;0,006;0,0007
2,328;0,9374;0,007;0,0008
2,717;0,9861;0,008;0,0008
3,743;1,0611;0,012;0,0008
4,752;1,0834;0,015;0,0008
4,955;1,0859;0,015;0,0008
5,769;1,0898;0,018;0,0008
6,621;1,0872;0,020;0,0008
7,075;1,0841;0,022;0,0008
8,264;1,0738;0,025;0,0008
9,079;1,0653;0,028;0,0008
10,091;1,0542;0,031;0,0008
11,105;1,0435;0,034;0,0008
11,778;1,0367;0,036;0,0008
13,230;1,0229;0,040;0,0008
13,231;1,0230;0,040;0,0008
15,285;1,0061;0,046;0,0008
16,723;0,9959;0,050;0,0008
18,361;0,9860;0,055;0,0008
18,859;0,9837;0,057;0,0008
21,120;0,9737;0,064;0,0008
23,070;0,9660;0,070;0,0008
24,000;0,9621;0,072;0,0008
25,270;0,9591;0,076;0,0008
