\popi{h}{cm};\popi{\sigma(h)}{cm};\popi{V}{ml};\popi{\sigma(V)}{ml};\popi{t}{s};\popi{\sigma(t)}{s};\popi{\Delta p}{Pa};\popi{\sigma(\Delta p)}{Pa};\popi{Q_v}{e-6 m^3.s^{-1}};\popi{\sigma(Q_v)}{e-6 m^3.s^{-1}}
2,1;0,1;5,2;0,1;25,3;0,2;206;10;0,206;0,004
3,9;0,1;10,5;0,5;20,3;0,2;382;10;0,52;0,03
5,3;0,1;12,5;0,5;15,2;0,2;519;10;0,82;0,03
6,2;0,1;10,0;0,5;10,0;0,2;607;10;1,00;0,05
7,2;0,1;12,0;0,5;10,1;0,2;705;10;1,19;0,05
9,4;0,1;17,0;0,5;10,1;0,2;920;10;1,68;0,06
10,1;0,1;17,0;0,5;10,2;0,2;988;10;1,67;0,06
11,0;0,1;19,5;0,5;10,1;0,2;1 077;10;1,93;0,06
12,8;0,1;21,5;0,5;10,2;0,2;1 253;10;2,11;0,06
14,5;0,1;24,0;0,5;10,4;0,2;1 419;10;2,31;0,07
16,2;0,1;28,0;0,5;10,2;0,2;1 585;10;2,75;0,07
18,5;0,1;29,5;0,5;10,1;0,2;1 810;10;2,92;0,08
19,4;0,1;30,0;0,5;10,0;0,2;1 899;10;3,00;0,08
20,8;0,1;33,0;0,5;10,4;0,2;2 036;10;3,17;0,08
22,2;0,1;34,0;0,5;10,0;0,2;2 173;10;3,40;0,08
23,1;0,1;35,5;0,5;10,1;0,2;2 261;10;3,51;0,09
26,0;0,1;39,0;0,5;10,1;0,2;2 544;10;3,86;0,09
27,0;0,1;41,5;0,5;10,2;0,2;2 642;10;4,07;0,09
