\popi{h}{cm};\popi{\sigma(h)}{cm};\popi{V}{ml};\popi{\sigma(V)}{ml};\popi{t}{s};\popi{\sigma(t)}{s};\popi{\Delta p}{Pa};\popi{\sigma(\Delta p)}{Pa};\popi{Q_v}{e-6 m^3.s^{-1}};\popi{\sigma(Q_v)}{e-6 m^3.s^{-1}}
2,3;0,1;13,0;0,5;10,0;0,2;225;10;1,30;0,06
3,0;0,1;19,0;0,5;10,0;0,2;294;10;1,90;0,06
4,3;0,1;28,0;0,5;10,3;0,2;421;10;2,72;0,07
5,6;0,1;36,0;0,5;10,1;0,2;548;10;3,56;0,09
7,4;0,1;47,0;0,5;10,1;0,2;724;10;4,65;0,10
8,9;0,1;56,0;1,0;10,4;0,2;871;10;5,38;0,14
10,3;0,2;62,0;1,0;10,5;0,2;1 008;20;5,90;0,15
14,0;0,9;70,0;1,0;10,3;0,2;1 370;88;6,80;0,16
14,8;1,5;70,0;1,0;10,3;0,2;1 449;147;6,80;0,16
16,0;1,3;72,0;1,0;10,2;0,2;1 566;127;7,06;0,17
20,1;1,0;74,0;1,0;10,0;0,2;1 967;98;7,40;0,18
21,8;0,6;78,0;1,0;10,2;0,2;2 134;59;7,65;0,18
23,1;0,3;78,0;1,0;10,0;0,2;2 261;29;7,80;0,19
26,1;0,1;82,0;1,0;10,2;0,2;2 555;10;8,04;0,19
27,4;0,1;84,0;1,0;10,1;0,2;2 682;10;8,32;0,19
