\popi{R}{cm};10;8;6;4;2
1;1,433;1,366;1,333;1,267;1,166
2;1,467;1,433;1,333;1,333;1,100
3;1,567;1,400;1,300;1,300;1,200
4;1,399;1,366;1,300;1,367;1,167
5;1,533;1,399;1,367;1,300;1,200
6;1,433;1,366;1,333;1,267;1,200
7;1,433;1,399;1,300;1,233;1,200
8;1,499;1,334;1,333;1,266;1,200
9;1,466;1,366;1,300;1,300;1,200
10;1,466;1,467;1,300;1,299;1,166
\popi{t}{s};1,470;1,390;1,320;1,293;1,180
\popi{\sigma_A(t)}{s};0,016;0,012;0,007;0,012;0,010
\popi{\sigma_B(t)}{s};0,019;0,019;0,019;0,019;0,019
\popi{\sigma(t)}{s};0,025;0,023;0,020;0,023;0,022
\popi{v}{m.s^{-1}};1,36;1,44;1,52;1,56;1,68
\popi{\sigma(v)}{m.s^{-1}};0,02;0,02;0,02;0,03;0,03
