\popi{\phi}{\dg};\popi{I}{1};\popi{\phi}{\dg};\popi{I}{1};\popi{\phi}{\dg};\popi{I}{1};\popi{\phi}{\dg};\popi{I}{1}
0;18;90;17;180;18;270;17
5;17;95;17;185;17;275;17
10;17;100;17;190;17;280;17
15;19;105;19;195;19;285;19
20;27;110;26;200;26;290;27
25;43;115;43;205;41;295;44
30;61;120;60;210;59;300;64
35;77;125;77;215;78;305;81
40;91;130;95;220;93;310;95
45;101;135;106;225;101;315;105
50;106;140;109;230;105;320;109
55;104;145;107;235;103;325;106
60;95;150;99;240;93;330;95
65;83;155;84;245;80;335;82
70;65;160;67;250;62;340;63
75;47;165;48;255;44;345;46
80;29;170;32;260;27;350;30
85;20;175;20;265;20;355;20
