\popi{\theta}{\dg};\popi{\lambda}{A};\popi{\sigma(\lambda)}{A};$N$;$\sigma N$;\popi{\theta}{\deg};\popi{\lambda}{A};\popi{\sigma(\lambda)}{A};$N$;$\sigma N$
5;0,35;0,02;51;7;18;1,25;0,02;687;26
5,5;0,39;0,02;46;7;18,5;1,28;0,02;649;25
6;0,42;0,02;47;7;19;1,32;0,02;640;25
6,5;0,46;0,02;45;7;19,5;1,35;0,02;659;26
7;0,49;0,02;41;6;20;1,38;0,02;547;23
7,5;0,53;0,02;42;6;20,5;1,42;0,02;1118;33
8;0,56;0,02;33;6;21;1,45;0,02;3053;55
8,5;0,6;0,02;50;7;21,5;1,48;0,02;616;25
9;0,63;0,02;89;9;22;1,52;0,02;526;23
9,5;0,67;0,02;485;22;22,5;1,55;0,02;676;26
10;0,7;0,02;864;29;23;1,58;0,02;10778;104
10,5;0,74;0,02;1054;32;23,5;1,61;0,02;6360;80
11;0,77;0,02;1302;36;24;1,65;0,02;388;20
11,5;0,81;0,02;1322;36;24,5;1,68;0,02;280;17
12;0,84;0,02;1445;38;25;1,71;0,02;263;16
12,5;0,88;0,02;1390;37;25,5;1,74;0,02;251;16
13;0,91;0,02;1414;38;26;1,77;0,02;200;14
13,5;0,94;0,02;1469;38;26,5;1,81;0,02;177;13
14;0,98;0,02;1452;38;27;1,84;0,02;178;13
14,5;1,01;0,02;1234;35;27,5;1,87;0,02;164;13
15;1,05;0,02;1142;34;28;1,9;0,02;151;12
15,5;1,08;0,02;1051;32;28,5;1,93;0,02;141;12
16;1,12;0,02;903;30;29;1,96;0,02;126;11
16,5;1,15;0,02;886;30;29,5;1,99;0,02;142;12
17;1,18;0,02;739;27;30;2,02;0,02;115;11
17,5;1,22;0,02;730;27;;;;;
