\multicolumn{5}{|c|}{lahev};;;;;;\multicolumn{5}{|c|}{sklenice};;;;;
\popi{D}{cm};\popi{d_1}{cm};\popi{d_2}{cm};\popi{d}{cm};\popi{f}{cm};;\popi{D}{cm};\popi{d_1}{cm};\popi{d_2}{cm};\popi{d}{cm};\popi{f}{cm};
40,0;12,9;34,8;21,9;7,0;0,2;40,0;10,7;37,1;26,4;5,6;0,2
50,0;12,3;46,2;33,9;6,8;0,2;50,0;10,6;46,5;35,9;6,1;0,3
60,0;12,6;56,0;43,4;7,2;0,3;60,0;9,5;55,8;46,3;6,1;0,3
30,0;16,1;20,6;4,5;7,3;0,1;30,0;10,8;25,3;14,5;5,7;0,2
70,0;12,1;65,5;53,4;7,3;0,3;70,0;9,2;66,2;57,0;5,9;0,3
80,0;14,4;75,6;61,2;8,3;0,3;80,0;9,3;76,6;67,3;5,8;0,3
\multicolumn{5}{|c|}{èoèka 1};;;;;;\multicolumn{5}{|c|}{èoèka 2};;;;;
\popi{D}{cm};\popi{d_1}{cm};\popi{d_2}{cm};\popi{d}{cm};\popi{f}{cm};;\popi{D}{cm};\popi{d_1}{cm};\popi{d_2}{cm};\popi{d}{cm};\popi{f}{cm};
40,0;6,1;35,4;29,3;4,6;0,3;40,0;4,7;35,2;30,5;4,2;0,3
50,0;5,0;46,2;41,2;4,0;0,3;50,0;5,4;45,0;39,6;4,7;0,3
60,0;5,4;54,4;49,0;5,0;0,3;60,0;5,8;54,1;48,3;5,3;0,3
30,0;5,7;25,4;19,7;4,3;0,2;30,0;5,3;23,9;18,6;4,6;0,2
70,0;5,0;66,0;61,0;4,2;0,3;70,0;5,2;65,7;60,5;4,4;0,3
