\multicolumn{8}{|c|}{pøidáno 20 g soli};;;;;;;;;\multicolumn{8}{|c|}{pøidáno 40 g soli};;;;;;;
\popi{\alpha}{\dg};10;20;30;40;50;60;70;80;10;20;30;40;50;60;70;80
$\sin{\alpha}$;0,17;0,34;0,50;0,64;0,77;0,87;0,94;0,98;0,17;0,34;0,50;0,64;0,77;0,87;0,94;0,98
$\sigma(\sin{\alpha})$;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;7,1;14,1;26,8;32,4;38,0;44,8;45,7;48,3;7,2;14,7;23,8;28,6;37,7;43,6;45,7;43,2
2;8,1;18,1;29,9;37,6;42,6;44,5;47,5;48,5;7,2;14,5;21,0;28,3;36,3;43,7;49,3;49,8
3;9,5;18,2;25,9;32,2;34,8;41,8;44,1;45,6;6,5;18,0;29,7;38,7;41,5;47,9;52,3;49,1
4;7,5;18,3;25,7;32,8;43,1;39,0;47,7;48,3;7,9;19,5;29,4;36,8;42,8;45,6;49,0;46,1
5;7,5;15,9;25,0;34,2;37,4;42,7;46,4;53,6;9,6;18,3;28,0;38,5;43,9;45,9;49,7;46,5
6;5,5;18,1;24,8;33,9;35,9;44,2;47,2;48,3;9,3;19,0;28,8;38,7;43,3;47,7;49,8;48,1
7;9,6;14,4;23,0;32,7;37,6;43,5;35,8;55,5;6,8;16,8;28,4;33,7;42,1;45,7;47,2;45,0
8;7,7;16,7;27,3;34,8;39,3;42,3;38,7;54,1;9,7;18,8;27,4;36,2;41,4;44,5;47,6;49,0
9;10,0;18,0;25,3;38,7;45,5;51,2;41,9;48,2;7,6;18,8;28,8;37,5;42,6;47,2;48,5;50,4
10;7,8;14,1;25,2;35,5;40,3;43,3;48,8;47,7;8,9;19,1;29,8;36,4;41,9;45,9;48,7;49,8
\popi{\beta}{\dg};8;17;26;34;39;44;44;50;8;18;28;35;41;46;49;48
\popi{\sigma(\beta)}{\dg};1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1
\sin{\beta};0,14;0,29;0,44;0,57;0,64;0,69;0,70;0,76;0,14;0,30;0,46;0,58;0,66;0,72;0,75;0,74
