;\multicolumn{4}{|c|}{popsaná strana};;;;\multicolumn{4}{|c|}{nepopsaná strana};;;
k;\popi{\rho}{mm};\popi{\sigma(\rho)}{mm};\popi{\rho^2}{cm^2};\popi{\sigma(\rho^2)}{cm^2};\popi{\rho}{mm};\popi{\sigma(\rho)}{mm};\popi{\rho^2}{cm^2};\popi{\sigma(\rho^2)}{cm^2}
1;104;3;1,09;0,06;230;4;5,3;0,2
2;184;4;3,4;0,1;371;6;13,7;0,4
3;239;4;5,7;0,2;473;7;22,4;0,6
4;284;5;8,1;0,3;554;8;30,7;0,8
5;324;5;10,5;0,3;628;8;39;1
6;356;6;12,7;0,4;692;9;48;1
7;390;6;15,2;0,5;746;9;56;1
8;419;6;17,6;0,5;802;10;64;2
9;444;6;19,7;0,6;853;11;73;2
10;471;7;22,2;0,6;899;11;81;2
11;496;7;24,6;0,7;937;11;88;2
12;518;7;26,8;0,7;980;12;96;2
13;538;7;28,9;0,8;1 025;12;105;3
14;561;8;31,5;0,9;1 061;13;113;3
15;583;8;34,0;0,9;;;;
16;603;8;36;1;;;;
17;622;8;39;1;;;;
18;640;8;41;1;;;;
19;660;9;44;1;;;;
20;676;9;46;1;;;;
21;694;9;48;1;;;;
22;709;9;50;1;;;;
23;725;9;53;1;;;;
