\popi{\Phi_1}{\dg};\popi{\Phi_2+360}{\dg};\popi{\phi_k}{\dg};\popi{\phi_0}{\dg};intenzita;barva;\popi{\lambda}{\mn};\popi{\sigma(\lambda)}{\mn};\popi{\lambda}{\mn} dle zadání;\popi{\lambda}{\mn} dle \cite{nist}
15,20;347,50;13,85;1,35;5;fialová;399;3;404,7;398,4
15,21;347,30;13,96;1,26;3;fialová;402;3;407,8;404,7
16,80;;15,34;;0,2;modrá;441;3;433,9;433,9
16,90;;15,44;;0,2;modrá;444;3;434,8;434,7
16,93;346,25;15,34;1,59;9;modrá;441;3;435,8;435,8
18,96;344,25;17,36;1,61;5;modrozelená;497;3;;
19,10;344,03;17,54;1,56;4;modrozelená;502;3;;
19,00;;17,54;;2;zelená;502;3;;
19,06;;17,60;;1;zelená;504;3;;
20,30;342,58;18,86;1,44;0,5;zelená;539;3;;542,0
20,65;342,07;19,29;1,36;10;zelená;551;3;546,1;546,1
21,46;341,53;19,97;1,50;0,5;žlutá;569;3;;567,7
21,80;341,13;20,34;1,47;8;žlutá ;579;3;;577,0
21,98;341,00;20,49;1,49;8;žlutá;583;3;;579,1
22,20;340,70;20,75;1,45;0,5;žlutá;590;3;;5 871,3
23,00;340,00;21,50;1,50;0,5;èervená;611;3;607,0;589,0
23,10;339,66;21,72;1,38;0,5;èervená;617;3;612,3;614,6
23,53;339,50;22,02;1,52;1;èervená;625;3;623,4;614,9
