$\Psi=“0\dg“$;0;;$\Psi=“80\dg“$;;
\popi{\Phi}{\dg};n;$\sigma(n)$;\popi{\Phi}{\dg};n;$\sigma(n)$
-35;10;3;-35;15;4
-30;9;3;-30;14;4
-25;3;2;-25;20;4
-20;7;3;-20;16;4
-15;9;3;-15;9;3
-10;11;3;-10;19;4
-5;11;3;-5;18;4
0;4;2;0;121;11
5;17;4;5;241;16
7,5;9;3;7,5;307;18
10;49;7;10;381;20
12,5;88;9;12,5;437;21
15;216;15;15;421;21
17,5;344;19;17,5;460;21
20;425;21;20;415;20
22,5;441;21;22,5;367;19
25;461;21;25;268;16
25,5;386;20;27,5;196;14
30;296;17;30;176;13
32,5;185;14;32,5;110;10
35;94;10;35;47;7
40;14;4;40;27;5
